num_errors,error_type,dob_error_flag,dob_error_msg
3,"['Prénom', 'Nom', 'Date de naissance']",True,Une date de naissance valide doit être renseignée.
2,"['Nome', 'Cognome']",False,
2,"['Nom', 'Date de naissance']",True,Une date de naissance valide doit être renseignée.
1,['Cognome'],False,
1,['Date de naissance'],True,La date de naissance n'est pas valide pour le type de passager sélectionné.
2,"['First name(s)', 'Last name']",False,
3,"['First name(s)', 'Last name', 'Date of birth']",True,Please enter a valid date of birth.
1,['Anrede'],False,
3,"['Vorname(n)', 'Nachname', 'Anrede']",False,
1,['Date of birth'],True,Your date of birth is not valid for the selected passenger type.
1,['Title'],False,
1,['Last name'],False,
1,['Date de naissance'],True,Une date de naissance valide doit être renseignée.
3,"['Nom', 'Date de naissance', 'Prénom']",False,
2,"['Last name', 'Date of birth']",True,Please enter a valid date of birth.
3,"['Vorname(n)', 'Nachname', 'Geburtsdatum']",True,Bitte geben Sie ein gültiges Geburtsdatum ein.
2,"['Vorname(n)', 'Nachname']",False,
2,"['Cognome', 'Nome']",False,
3,"['First name(s)', 'Last name', 'Title']",False,
3,"['Nome', 'Cognome', 'Data di nascita']",False,
2,"['Prénom', 'Nom']",False,
1,['Date of birth'],True,Please enter a valid date of birth.
1,['Data di nascita'],False,
4,"['Nombre', 'Apellidos', 'Número de documento', 'Tipo de documento']",False,
4,"['Città', 'CAP', 'Nome dell’azienda', 'Partita IVA']",False,
1,['Nom'],False,
2,"['Nachname', 'Geburtsdatum']",True,Bitte geben Sie ein gültiges Geburtsdatum ein.
2,"['Last name', 'First name(s)']",False,
3,"['Last name', 'Date of birth', 'First name(s)']",False,
1,['Fecha de nacimiento'],False,
1,['Civilité'],False,
1,['Provincia'],False,
1,['Geburtsdatum'],True,Ihr Geburtsdatum ist für die ausgewählte Altersgruppe nicht gültig.
3,"['Cognome', 'Data di nascita', 'Nome']",False,
2,"['Nachname', 'Anrede']",False,
1,['Tipo de documento'],False,
1,['Nachname'],False,
2,"['Nombre', 'Apellidos']",False,
3,"['Nombre', 'Apellidos', 'Fecha de nacimiento']",False,
1,['Date de naissance'],True,Ne peut être antérieur à 1900 ou postérieur à la date actuelle.
1,['Document number'],False,
2,"['Cognome', 'Data di nascita']",False,
1,['Document type'],False,
4,"['Vorname(n)', 'Nachname', 'Geburtsdatum', 'Anrede']",False,
4,"['First name(s)', 'Last name', 'Document number', 'Document type']",False,
2,"['Prénom', 'Nom']",False,
3,"['Nachname', 'Vorname(n)', 'Anrede']",False,
1,['Geburtsdatum'],True,Bitte geben Sie ein gültiges Geburtsdatum ein.
7,"['Codice fiscale / Numero di previdenza sociale', 'Nome', 'Cognome', 'Città', 'CAP', 'Via e numero civico', 'Paese']",False,
2,"['Document number', 'Document type']",False,
2,"['Last name', 'Title']",False,
3,"['Nachname', 'Geburtsdatum', 'Vorname(n)']",False,
3,"['Apellidos', 'Número de documento', 'Tipo de documento']",False,
1,['First name(s)'],False,
1,['Número de documento'],False,
1,['Data di nascita'],False,
2,"['Número de documento', 'Tipo de documento']",False,
2,"['First name(s)', 'Last name']",False,
1,['Fiscal number / Social security number'],False,
3,"['Prénom', 'Nom', 'Civilité']",False,
1,['Apellidos'],False,
1,['Titolo'],False,
1,['Codice fiscale / Numero di previdenza sociale'],False,
5,"['Nombre', 'Apellidos', 'Fecha de nacimiento', 'Número de documento', 'Tipo de documento']",False,
1,['Título'],False,
2,"['Nom', 'Prénom']",False,
3,"['Last name', 'First name(s)', 'Title']",False,
2,"['Voorna(a)m(en', 'Achternaam']",False,
2,"['Apellidos', 'Fecha de nacimiento']",False,
2,"['Nachname', 'Vorname(n)']",False,
1,['Date of birth'],True,Cannot be before 1900 or after current date.
2,"['Apellidos', 'Nombre']",False,
1,['Numéro fiscal / numéro de sécurité sociale'],False,
2,"['Nome', 'Sobrenome']",False,
1,['Prénom'],False,
1,['Fecha de nacimiento'],False,
4,"['Vorname(n)', 'Nachname', 'Geburtsdatum', 'Geschlecht']",False,
3,"['Apellidos', 'Fecha de nacimiento', 'Nombre']",False,
4,"['Apellidos', 'Número de documento', 'Tipo de documento', 'Nombre']",False,
5,"['First name(s)', 'Last name', 'Date of birth', 'Document number', 'Document type']",False,
2,"['Nom', 'Prénom']",False,
3,"['Nome', 'Cognome', 'Titolo']",False,
4,"['First name(s)', 'Last name', 'Date of birth', 'Title']",False,
3,"['Voorna(a)m(en', 'Achternaam', 'Geboortedatum']",True,Voer een geldige geboortedatum in.
1,['Numéro de document'],False,
4,"['First name(s)', 'Last name', 'Date of birth', 'Gender']",False,
2,"['Nome', 'Cognome']",False,
1,['Titel'],False,
3,"['Last name', 'Document number', 'Document type']",False,
4,"['City', 'Postal code', 'Company name', 'Vat number']",False,
