cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Lugano,localTransport
flixbus,urn:trainline:flixbus:extra:hand_luggage-0cc55a9c2726fb74edcd1ec41a003b16,Hand baggages,handLuggage
westbahn,urn:trainline:westbahn:extra:newspapers-ad5954f3585359ac5490263469f4ba26,Zeitungen,
trenitalia,urn:trainline:trenitalia:extra:entertainment-19a3ec899746fa0c9e1a059efe3fe276,"Programme de divertissement à bord : films, journaux, musique, dessins animés.",
ntv,urn:trainline:ntv:extra:newspaper,Nyhetstidning (på morgonen),reading
ntv,urn:trainline:ntv:extra:newspaper,Newspaper (in the morning),reading
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Waldstatt,localTransport
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known-de5293061a0361a16f0d06bf4d54ada9,1 travel baggage of 20 kg,luggage
trenitalia,urn:trainline:trenitalia:extra:morning_newspaper,Morning newspaper,
ouigo,urn:trainline:ouigo:extra:stroller,Cochecito,pram
ntv,urn:trainline:ntv:extra:outlet-94aebd9f9a4fa8ec915c15b1be776506,Presa elettrica,electricSocket
db,urn:trainline:db:extra:ice_free_wifi,WiFi,
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known-617ddf8edc5bd325ce2a0513e5540b17,1 travel baggage of 20 kg,luggage
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known-71a3d56c5bbb961a7486601833b2b50e,1 travel baggage of 30 kg,luggage
trenitalia,urn:trainline:trenitalia:extra:executive_area_meeting,Area Meeting,
sncf,urn:trainline:sncf:extra:bicycle_with_reservation-5be7906f847e1b46cc02b94ca91cec20,Réservation vélo pour tous les passagers,bicycle
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte_no_seatmap-4acde6bdd8643f01e957dd99638703f0,Power outlet,seatSelectionNoSeatmap
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Davos,localTransport
cff,urn:trainline:cff:extra:cff_city_ticket_arrival-4255cdda1edaaabf3cb99205224da3f1,"City-Ticket Lausanne, Chauderon",localTransport
busbud,urn:trainline:busbud:extra:hand_luggage,2 Handgepäckstücke,handLuggage
busbud,urn:trainline:busbud:extra:toilet-4597ebd861f51c470e165c366e5fdefb,Toilets,toilet
busbud,urn:trainline:busbud:extra:drinks,Bevande,drinks
renfe,urn:trainline:renfe:extra:served_meal,Repas à la place,
ntv,urn:trainline:ntv:extra:wifi,WiFi,wifi
obb,urn:trainline:obb:extra:lounge_klagenfurt_hbf-e87427bfc912c16f1a14e527436861a3,ÖBB lounge Klagenfurt Hbf,departureLounge
ouigo,urn:trainline:ouigo:extra:ouigo_spain_extra_luggage-972618333b3b3a0833e7307100250c12,Extra baggage,luggage
flixbus,urn:trainline:flixbus:extra:hand_luggage-2fe9da99fd3bd9d70741c894b350cf1d,Hand baggages,handLuggage
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte-90c372a46d489966bd44dac53c1ae745,Seat selection,seatSelection
ouigo,urn:trainline:ouigo:extra:seat_selection_paxspec_0_5672abb07a7311eb8ec77caef766b354_ouigo_duopp-1031038d366b6cb27a79b14c549c4f2d,Seat selection,
ouigo,urn:trainline:ouigo:extra:luggage,Bagage supplémentaire,luggage
trenitalia,urn:trainline:trenitalia:extra:seat_selection-f87dd93db996edc07b74239fe4422223,Seat selection,
flixbus,urn:trainline:flixbus:extra:travel_luggage,2 valises,luggage
trenitalia,urn:trainline:trenitalia:extra:meal-082e1e0919320b1c9c4740185b315f88,Comida servida en el asiento,meal
db,urn:trainline:db:extra:ic_bus_power_outlet,Toma de corriente,
distribusion,urn:trainline:distribusion:extra:snacks-8f5fb91545d636ce03a2076c5483203b,零食小吃,meal
flixbus,urn:trainline:flixbus:extra:travel_luggage,2 maletas,luggage
distribusion,urn:trainline:distribusion:extra:sleepingkit-b9cea67c85d2f7b46eef4b845b7614b5,Sleeping kit,atSeatService
db_pst,urn:trainline:db_pst:extra:city_ticket-4e76e1ecc180381385f6a0ecde8b4798,City-Ticket,
db,urn:trainline:db:extra:book_round_trip_pnr,Book a return ticket,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Ittigen bei Bern,localTransport
distribusion,urn:trainline:distribusion:extra:wifi-db541747377fdc12f6212aa724d6663d,WiFi,wifi
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Sursee,localTransport
distribusion,urn:trainline:distribusion:extra:smalltable-d5a91b8c0faa716b27c4989a89509d17,Small table,compartment
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Plazas para bicicletas (2),
busbud,urn:trainline:busbud:extra:hand_luggage-bb3d6f5585489186f15891e68aa6731a,1件手提行李,handLuggage
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duo_essentiel_adulte-72b5d3a85b8d5480ecc44a4b2560157f,Selección de asientos,seatSelection
trenitalia,urn:trainline:trenitalia:extra:newspaper-be78dcffedd3dd2d91967acce03c07f7,Giornali e riviste,reading
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte-90c372a46d489966bd44dac53c1ae745,Selección de asientos,seatSelection
db,urn:trainline:db:extra:ice_free_wifi,WiFi,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Sion,localTransport
busbud,urn:trainline:busbud:extra:hand_luggage,1 equipaje de mano,
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_solo_essentiel_enfant-5fffa5e2285b4bb20d9ad2300087b7b2,translation missing: en.data.ssr..seat_selection.title,
trenitalia,urn:trainline:trenitalia:extra:welcome_snack-780589ba3d0f0d32c2030bb65902ee75,Getränke und Snacks,meal
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte_no_seatmap-69f44c199817ccb396582f71725731fe,Seat with power outlet,seatSelectionNoSeatmap
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Plazas para bicicletas (5),
ouigo,urn:trainline:ouigo:extra:ouigo_spain_extra_luggage-39137dcf95d595df5cdc93f6beef47ac,Extra luggage,
sncf,urn:trainline:sncf:extra:private_compartment-a36d31e8fe849666a0b4cf6a5999f99d,Private compartment,
flixbus,urn:trainline:flixbus:extra:hand_luggage,1 Handgepäck,handLuggage
sncf,urn:trainline:sncf:extra:wifi-d30b4653f4d34bf22edbb6c8e7eae07e,translation missing: en.data.ssr.wifi.title,wifi
busbud,urn:trainline:busbud:extra:hand_luggage-f166a668aee12a34b3680ae32faf460c,2 bagages à main,handLuggage
ouigo,urn:trainline:ouigo:extra:folded_bicycle-d9f97835d1399f20fb330035f0b0906c,Bicicleta plegable/desmontada,luggage
flixbus,urn:trainline:flixbus:extra:travel_luggage-21e893641802afa0259f92feed15d545,Travel baggages,luggage
distribusion,urn:trainline:distribusion:extra:toilet,%{0e963a8fd3d42c95a53e6538c5ae633be4f24974},toilet
ouigo,urn:trainline:ouigo:extra:ouigo_spain_xl_seat_priority_allocation-2a291fd2130120829e42a50ad4b731f3,translation missing: en.data.ssr.ouigo_spain.ouigo_spain_xl_seat_priority_allocation.title,
trenitalia,urn:trainline:trenitalia:extra:morning_newspaper,Stampa (la mattina),reading
trenitalia,urn:trainline:trenitalia:extra:morning_newspaper,Newspaper (in the morning),reading
flixbus,urn:trainline:flixbus:extra:hand_luggage-c6a184def09f42cf448b6b58e88d0acf,Hand baggages,handLuggage
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Bike reservations (4),bicycle
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 Gepäckstück von 30 kg,
flixbus,urn:trainline:flixbus:extra:wifi,WiFi,wifi
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_solo_essentiel_enfant-20e9fab395ca4671f6177380415a09c0,Seat selection,seatSelection
flixbus,urn:trainline:flixbus:extra:wifi-c000ced509a3f6e88bf6b3927c2f8b2b,WLAN,wifi
sncf,urn:trainline:sncf:extra:food_drink_vending_machine-6f0618c90c10b0e8161ccc09d7a2c2cb,translation missing: en.data.ssr.sncf.food_drink_vending_machine.title,drinksAndSnacks
obb,urn:trainline:obb:extra:lounge_wien_hbf-1cf6cf33bd3c5dc738edd194df498510,ÖBB lounge Gronau (Westf),departureLounge
ouigo,urn:trainline:ouigo:extra:ouigo_spain_xl_seat_priority_allocation-cdfc01c1683919d8f594b9fbb25a9d06,Priority allocation of an XL seat (subject to availability),largeSeat
distribusion,urn:trainline:distribusion:extra:mediasystem-ebcf417670a5afa15e0906950c415522,车载媒体系统,
db,urn:trainline:db:extra:free_wifi,WiFi,wifi
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 travel baggage of 20 kg,
sncf,urn:trainline:sncf:extra:bicycle_with_reservation-6d111c92a518acf35b81165546953460,Réservation vélo pour tous les passagers,bicycle
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,2 stk. reisebagasje på 20 kg,luggage
flixbus,urn:trainline:flixbus:extra:hand_luggage,Hand baggage,handLuggage
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Horw,localTransport
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 maleta de 25 kgs.,
busbud,urn:trainline:busbud:extra:hand_luggage-98b37e166e53937357fbcf8af0b01eef,Hand baggage,handLuggage
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_solo_essentiel_adulte_no_seatmap-e241b6643282c4cbd4ef2492abc55ae2,Place isolée,seatSelectionNoSeatmap
flixbus,urn:trainline:flixbus:extra:snack-ce036f9774767ad315759db3b785b82c,Teste,
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte_no_seatmap-7375343badad265d13809d3c9b67d251,Seat with power outlet,seatSelectionNoSeatmap
db,urn:trainline:db:extra:ic_bus_free_wifi,WLAN,
renfe,urn:trainline:renfe:extra:served_meal,Comida servida en el asiento,meal
renfe,urn:trainline:renfe:extra:served_meal,Mahlzeit am Platz,
sncf,urn:trainline:sncf:extra:bicycle_without_reservation,Spazio biciclette,bicycle
